Frame_ID,Pothole_ID,area_cm2,Center_Coordinate
frame_252.jpg.jpeg,1,32.64,"(4.24, 153.81)"
frame_252.jpg.jpeg,2,30.18,"(124.56, 142.05)"
frame_252.jpg.jpeg,3,159.24,"(122.25, 123.78)"
frame_252.jpg.jpeg,4,32.84,"(157.52, 90.06)"
frame_252.jpg.jpeg,5,21.0,"(117.94, 62.08)"
frame_252.jpg.jpeg,6,356.0,"(105.17, 49.25)"
frame_252.jpg.jpeg,7,28.06,"(31.32, 12.78)"
frame_253.jpg.jpeg,1,23.28,"(2.22, 145.5)"
frame_253.jpg.jpeg,2,29.5,"(123.26, 130.97)"
frame_253.jpg.jpeg,3,144.7,"(121.06, 113.54)"
frame_253.jpg.jpeg,4,36.28,"(157.23, 93.72)"
frame_253.jpg.jpeg,5,29.28,"(156.04, 79.49)"
frame_253.jpg.jpeg,6,19.5,"(116.68, 51.81)"
frame_253.jpg.jpeg,7,381.86,"(104.41, 39.11)"
frame_254.jpg.jpeg,1,19.76,"(1.98, 132.93)"
frame_254.jpg.jpeg,2,27.6,"(121.9, 119.93)"
frame_254.jpg.jpeg,3,161.08,"(119.62, 101.87)"
frame_254.jpg.jpeg,4,20.58,"(157.58, 86.2)"
frame_254.jpg.jpeg,5,21.54,"(155.02, 81.67)"
frame_254.jpg.jpeg,6,21.18,"(115.19, 41.58)"
frame_254.jpg.jpeg,7,376.7,"(103.02, 28.34)"
frame_255.jpg.jpeg,1,28.1,"(120.45, 108.31)"
frame_255.jpg.jpeg,2,144.96,"(118.47, 91.09)"
frame_255.jpg.jpeg,3,30.48,"(157.15, 75.53)"
frame_255.jpg.jpeg,4,19.14,"(153.38, 70.75)"
frame_255.jpg.jpeg,5,392.44,"(102.51, 17.74)"
frame_256.jpg.jpeg,1,36.42,"(130.59, 156.07)"
frame_256.jpg.jpeg,2,29.74,"(5.33, 149.29)"
frame_256.jpg.jpeg,3,27.6,"(2.31, 100.71)"
frame_256.jpg.jpeg,4,27.0,"(118.71, 94.44)"
frame_256.jpg.jpeg,5,135.3,"(116.73, 77.73)"
frame_256.jpg.jpeg,6,17.46,"(151.59, 57.54)"
frame_256.jpg.jpeg,7,46.34,"(156.85, 61.38)"
frame_256.jpg.jpeg,8,17.54,"(112.4, 17.33)"
frame_256.jpg.jpeg,9,256.22,"(100.78, 7.9)"
frame_257.jpg.jpeg,1,44.78,"(129.02, 145.63)"
frame_257.jpg.jpeg,2,26.38,"(4.23, 137.23)"
frame_257.jpg.jpeg,3,25.8,"(117.21, 83.79)"
frame_257.jpg.jpeg,4,131.54,"(115.09, 66.73)"
frame_257.jpg.jpeg,5,26.96,"(156.98, 51.36)"
frame_258.jpg.jpeg,1,46.18,"(127.39, 134.79)"
frame_258.jpg.jpeg,2,28.84,"(3.49, 125.72)"
frame_258.jpg.jpeg,3,25.1,"(115.66, 73.31)"
frame_258.jpg.jpeg,4,123.36,"(113.69, 56.89)"
frame_258.jpg.jpeg,5,22.62,"(152.22, 42.81)"
frame_259.jpg.jpeg,1,48.76,"(125.76, 124.25)"
frame_259.jpg.jpeg,2,24.9,"(2.87, 115.05)"
frame_259.jpg.jpeg,3,16.38,"(156.8, 71.91)"
frame_259.jpg.jpeg,4,25.52,"(114.12, 63.83)"
frame_259.jpg.jpeg,5,111.34,"(111.89, 47.62)"
frame_259.jpg.jpeg,6,16.06,"(156.01, 32.46)"
frame_260.jpg.jpeg,1,48.1,"(124.34, 114.48)"
